feature,importance,cumulative_importance
V1,0.039174389094114304,0.039174389094114304
V7,0.03454085811972618,0.07371524721384048
V29,0.03159224987030029,0.10530749708414078
V8,0.024010108783841133,0.12931761145591736
V18,0.02358887903392315,0.15290649235248566
day,0.02358887903392315,0.17649537324905396
V28,0.02274641953408718,0.1992417871952057
V25,0.02274641953408718,0.22198820114135742
day_mean_behavior_times,0.021903960034251213,0.24389216303825378
num_module_C,0.02148273028433323,0.26537489891052246
V11,0.020219039171934128,0.2855939269065857
V20,0.019797809422016144,0.30539172887802124
module_C_3614,0.018534120172262192,0.32392585277557373
V17,0.017691658809781075,0.34161752462387085
last_day_gap,0.016849199309945107,0.3584667146205902
V10,0.01600673981010914,0.3744734525680542
num_module_A,0.01600673981010914,0.3904801905155182
V19,0.015585510060191154,0.4060657024383545
V9,0.015164279378950596,0.4212299883365631
behavior_gap_std,0.013058129698038101,0.4342881143093109
TCH_TYP_0,0.013058129698038101,0.4473462402820587
day_mean_open,0.012636899948120117,0.45998314023017883
module_C_1703,0.012636899948120117,0.47262004017829895
behavior_gap_mean,0.01137320976704359,0.483993262052536
V14,0.010951980017125607,0.494945228099823
module_A_520,0.010530749335885048,0.5054759979248047
num_module_B,0.010530749335885048,0.5160067677497864
num_days_in_week,0.010530749335885048,0.5265375375747681
V24,0.010530749335885048,0.5370683073997498
V15,0.010530749335885048,0.5475990772247314
V23,0.010109519585967064,0.5577086210250854
module_A_38,0.010109519585967064,0.5678181648254395
V27,0.010109519585967064,0.5779277086257935
V21,0.010109519585967064,0.5880372524261475
module_B_1831,0.008845829404890537,0.5968830585479736
module_A_326,0.008845829404890537,0.6057288646697998
module_A_604,0.008845829404890537,0.614574670791626
V22,0.008424599654972553,0.6229992508888245
module_C_561,0.008424599654972553,0.631423830986023
module_C_1678,0.00800336990505457,0.6394271850585938
TCH_TYP_2,0.007582139689475298,0.6470093131065369
first_day_gap,0.007582139689475298,0.65459144115448
module_C_1718,0.007582139689475298,0.6621735692024231
V3_5,0.007160909939557314,0.6693344712257385
V16,0.007160909939557314,0.676495373249054
module_B_1041,0.007160909939557314,0.6836562752723694
module_B_1042,0.006739679723978043,0.6903959512710571
V3_1,0.006739679723978043,0.6971356272697449
V5_1,0.006739679723978043,0.7038753032684326
module_A_257,0.006739679723978043,0.7106149792671204
module_C_1722,0.006318449974060059,0.7169334292411804
V30,0.006318449974060059,0.7232518792152405
module_A_460,0.006318449974060059,0.7295703291893005
V4_1,0.006318449974060059,0.7358887791633606
num_record,0.005897219758480787,0.741786003112793
V13,0.005475990008562803,0.7472620010375977
V12,0.005475990008562803,0.7527379989624023
module_C_3744,0.005475990008562803,0.758213996887207
module_B_1861,0.005475990008562803,0.7636899948120117
module_B_1865,0.005475990008562803,0.7691659927368164
module_B_2140,0.005054759792983532,0.7742207646369934
module_C_1700,0.005054759792983532,0.7792755365371704
V2_1,0.004633530043065548,0.7839090824127197
ratio_days_in_week,0.004633530043065548,0.788542628288269
module_C_3843,0.004633530043065548,0.7931761741638184
module_B_1827,0.004212299827486277,0.79738849401474
module_C_3768,0.004212299827486277,0.8016008138656616
module_A_0,0.004212299827486277,0.8058131337165833
module_A_372,0.004212299827486277,0.8100254535675049
module_C_1724,0.003791069844737649,0.8138165473937988
module_C_3623,0.003791069844737649,0.8176076412200928
V3_11,0.003791069844737649,0.8213987350463867
module_A_139,0.003791069844737649,0.8251898288726807
module_A_508,0.003791069844737649,0.8289809226989746
module_B_1836,0.003791069844737649,0.8327720165252686
module_B_1046,0.003791069844737649,0.8365631103515625
module_B_1048,0.003791069844737649,0.8403542041778564
module_B_231,0.003791069844737649,0.8441452980041504
